Series Name,Series Code,Country Name,Country Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Population, total",SP.POP.TOTL,Sweden,SWE,8617375,8668067,8718561,8780745,8826939,8840998,8846062,8850974,8857874,8872109,8895960,8924958,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442
"Population, total",SP.POP.TOTL,Switzerland,CHE,6799978,6875364,6938265,6993795,7040687,7071850,7088906,7110001,7143991,7184250,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8638167
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,12980821,13385571,13795686,14208583,14616801,15018104,15417542,15820413,16228061,16637888,17051338,17468332,17889296,18336875,18814091,19637022,20884125,21636564,21976969,22482421,22878098,22759763,21666917,20273659,19424618,19193834,19224668,19577845,20353534,21049429
"Population, total",SP.POP.TOTL,Tajikistan,TJK,5541205,5649400,5724993,5825368,5948584,6066523,6139829,6176397,6208370,6284735,6407377,6531669,6658575,6790547,6924720,7057566,7194477,7338403,7490230,7652141,7824785,8014084,8216724,8425552,8643840,8865631,9085946,9307333,9529966,9749310
"Population, total",SP.POP.TOTL,Tanzania,TZA,26780436,27457588,28332692,29442356,30383497,30945762,31578089,32420458,33300330,34260139,35198299,36121304,37089555,38109668,39182076,40294902,41435512,42570728,43633982,44758488,46029367,47374260,48824128,50351512,52020962,53824013,55652890,57437145,59174891,60972798
"Population, total",SP.POP.TOTL,Thailand,THA,55637434,56528834,57408198,58260854,59098232,59920064,60724584,61522630,62299043,63007815,63651141,64266437,64868166,65452047,66017420,66567687,67102394,67619830,68121080,68579447,69007208,69436098,69845114,70216367,70540795,70859841,71160187,71376079,71522271,71641484
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,778278,799318,821437,844493,868146,892282,917184,942530,834697,745088,812249,879159,916878,929074,948311,976597,1004889,1032429,1058782,1084679,1110207,1134885,1158695,1181903,1205131,1228312,1251703,1275959,1300945,1326053
"Population, total",SP.POP.TOTL,Togo,TGO,4115560,4233617,4207453,4222940,4410832,4577860,4725030,4860913,5000269,5140037,5277382,5413274,5552167,5696508,5844631,6010668,6188344,6368812,6551865,6732590,6916474,7100736,7285442,7472450,7663195,7858289,8057140,8258778,8463068,8669720
"Population, total",SP.POP.TOTL,Tonga,TON,99895,100022,100103,100166,100225,100275,100674,101388,102046,102677,103288,103874,104464,105071,105671,106253,106726,107020,107203,107400,107570,107460,107078,106609,106095,105524,105356,105567,105669,105704
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1262171,1271674,1280466,1288341,1295169,1300928,1305836,1310225,1314708,1319774,1325567,1332011,1338709,1345380,1294494,1297944,1303188,1308587,1310106,1317714,1328019,1335194,1340557,1345343,1349667,1353895,1356633,1359193,1363985,1366725
"Population, total",SP.POP.TOTL,Tunisia,TUN,8501827,8682512,8857910,9018448,9161258,9294432,9421270,9541667,9655963,9764935,9869677,9971515,10071632,10166163,10255472,10346410,10441702,10542635,10650681,10765980,10886035,11009647,11141361,11274288,11402264,11528674,11650498,11765514,11875081,11974057
"Population, total",SP.POP.TOTL,Turkiye,TUR,57009887,57990118,58999167,60033836,61024503,61951134,62852966,63734383,64591923,65425961,66245128,67048795,67831730,68592617,69329557,70045349,70158112,71051678,72039206,73142150,74223629,75175827,76147624,77181884,78218479,79277962,80312698,81407204,82579440,83384680
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,3855894,3944689,4032407,4116662,4191203,4263819,4336730,4410507,4492170,4582677,4675409,4769465,4863865,4958093,5052257,5147105,5244046,5345029,5451592,5564356,5683417,5808546,5939341,6075283,6215770,6360041,6507061,6655524,6803944,6949912
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,12305,12970,13648,14344,15052,15765,16482,17212,17959,18730,19576,20597,21727,22856,23988,25123,26270,27427,28588,29739,30846,32127,33653,35050,36605,38315,39913,41559,43166,44386
"Population, total",SP.POP.TOTL,Tuvalu,TUV,8928,9038,9126,9207,9280,9342,9400,9451,9496,9544,9586,9623,9695,9816,9940,10056,10182,10321,10461,10614,10780,10934,11001,10984,10963,10930,10869,10751,10581,10399
"Population, total",SP.POP.TOTL,Uganda,UGA,18155901,18785032,19445161,20108801,20665667,21231550,21856046,22515806,23257281,24000150,24745676,25532870,26352124,27154515,27963289,28794003,29653430,30539553,31451151,32390802,33354543,34337438,35337042,36395539,37531446,38799152,40177388,41565831,42999637,44457152
"Population, total",SP.POP.TOTL,Ukraine,UKR,52170961,52323671,52350126,52075998,51665539,51226109,50786885,50379731,49976446,49556660,49106855,48677281,48315136,47979507,47585556,47278694,47062798,46819175,46623731,46456003,46307853,46210056,46126770,45972380,45784896,45616832,45436041,45208907,44957458,44680014
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,2006626,2114730,2222093,2328188,2434662,2597564,2817410,3040421,3266009,3493575,3723590,3956826,4192457,4428967,4664790,5009100,5624635,6302664,6707058,6869838,7104538,7391448,7693031,8059440,8505237,8935095,9223225,9346701,9445785,9401038
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258810,63711000,64139000,64620000,65088000,65607000,65966000,66289000,66631000,66744000
"Population, total",SP.POP.TOTL,United States,USA,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309378227,311839461,314339099,316726282,319257560,321815121,324353340,326608609,328529577,330226227,331577720
"Population, total",SP.POP.TOTL,Uruguay,URY,3122354,3139702,3156345,3172834,3189440,3206324,3223345,3239280,3254015,3266206,3274251,3278867,3281186,3283148,3285771,3289506,3295153,3302177,3310091,3318580,3326825,3335401,3345337,3356334,3368017,3379283,3388438,3394534,3397206,3398968
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20962910,21485090,21987955,22463291,22917589,23351981,23758960,24134929,24476008,24787054,25090283,25399980,25711259,26029350,26356975,26699043,27076008,27494774,27939328,28385506,28823196,29261903,29724065,30222994,30749346,31284568,31819178,32373490,32964701,33586372
"Population, total",SP.POP.TOTL,Vanuatu,VUT,151793,155608,159463,163314,167137,170911,174626,178313,182048,186281,191031,195863,200746,205711,210760,215923,221276,226896,232731,238248,243474,248883,254482,260240,266101,272087,278507,285259,291985,298858
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,20304896,20780948,21254520,21725188,22193821,22662113,23131685,23601337,24066593,24526708,24979922,25435671,25892703,26340838,26785804,27224686,27649363,28053696,28438298,28813101,29185212,29553826,29912198,30254079,30573972,30765720,30565323,29807592,28938098,28444077
"Population, total",SP.POP.TOTL,Viet Nam,VNM,66891775,68260337,69586384,70854391,72049940,73156447,74226889,75299660,76287452,77154011,77969361,78772224,79563777,80338971,81088313,82167897,83633375,85175788,86460018,87455152,88468314,89510356,90573104,91679578,92823254,94000117,95176977,96237319,97173776,98079191
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,104807,105712,106578,107318,107818,108095,108357,108537,108599,108642,108549,108509,108505,108466,108453,108369,108337,108397,108404,108357,108290,108188,108041,107882,107712,107516,107281,107001,106669,106290
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,2068845,2163591,2262676,2366298,2474666,2587997,2706518,2776568,2848431,2922153,2997784,3075373,3154969,3236626,3320396,3406334,3494496,3591977,3689099,3786161,3882986,3979998,4076708,4173398,4270092,4367088,4454805,4569087,4685306,4803269
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,14430201,14989494,15563914,16149147,16740058,17313177,17873936,18446013,19029420,19624141,20226147,20835086,21456379,22095167,22790085,23543083,24318082,25111941,25927724,26754387,27582897,28433647,29312952,30226309,31159379,32109010,33090921,34085182,35111408,36134863
"Population, total",SP.POP.TOTL,Zambia,ZMB,7981650,8176680,8373921,8576269,8785763,9004053,9237063,9482408,9740005,10017631,10325185,10647949,10983595,11338198,11718819,12129553,12565085,13021324,13490389,13965594,14437796,14913629,15398997,15895315,16399089,16914423,17441320,17973569,18513839,19059395
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,10404816,10702700,10860288,10873148,10974599,11158360,11369827,11594297,11783458,11892055,11971901,12087653,12232323,12365896,12483432,12636445,12804058,12959149,13142790,13356548,13595424,13817887,14013808,14207359,14399013,14600294,14812482,15034452,15271368,15526888
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,320442961,329082707,338324002,347441809,356580375,366138524,375646235,385505757,395750933,406156661,416807868,427820358,439173286,450928044,463076637,475606210,488580707,502070763,516003448,530308387,544737983,559609961,575202699,590968990,607123269,623369401,640058741,657801085,675950189,694446100
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,215178709,221191375,227246778,233360104,239801875,246415446,253207584,260297834,267506298,274968446,282780717,290841795,299142845,307725100,316588476,325663158,334984176,344586109,354343844,364358270,374790143,385360349,396030207,406992047,418127845,429454743,440882906,452195915,463365429,474569351
"Population, total",SP.POP.TOTL,Arab World,ARB,228402316,234321565,240926205,247626514,253952538,260229121,266565183,273094199,279709634,286548096,293580252,300691509,307815105,315060277,322628451,330526310,338947976,347684619,356386673,363568534,372054934,381030177,390954281,400231008,410190679,419808341,428315886,435998060,444281315,453723239
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,3677765,3706523,3735156,3763806,3795917,3829184,3861673,3893594,3925229,3956229,3987087,4018796,4050990,4080569,4049468,4072929,4098855,4124966,4146899,4173335,4201107,4228445,4257682,4286546,4314191,4341333,4366140,4407658,4443134,4459302
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,110469467,110111454,110041924,110021594,109864246,109626194,109422013,109238340,109060951,108447824,107660041,106959751,106624167,106331716,106041911,105772481,105378748,105001883,104800475,104421447,104174038,103929494,103570062,103280478,102973167,102647939,102337501,102074201,101864274,101215763
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,2092102478,2138854231,2184656122,2228719169,2273692181,2321284245,2369042441,2416119734,2462704115,2509431470,2556335424,2601917557,2647109296,2693184997,2738846905,2784726644,2830531957,2875943965,2921563644,2967104472,3013476947,3058869436,3103677284,3146800078,3190318707,3233033717,3274060446,3314245247,3355014793,3396051187
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,1844189975,1869074614,1893258583,1917389243,1941185229,1964830092,1988067577,2010443502,2030912462,2050149617,2068682053,2086144389,2102761941,2118747885,2134573057,2150688938,2167046538,2183472438,2199148703,2214613815,2230826576,2249081393,2267072102,2284385542,2300844269,2317076058,2333475520,2347576325,2359771090,2369438682
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,1625498444,1648872786,1671604370,1694244506,1716602413,1738632397,1760512371,1781546477,1800932833,1819011507,1836260943,1852659155,1868409996,1883675167,1898853723,1914002124,1929185103,1944305887,1959017463,1973602166,1989106668,2006566431,2023850158,2040383789,2056050896,2071486140,2087238522,2100698838,2112289891,2121866294
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD),TEA,1604095270,1627147885,1649557492,1671877438,1693960469,1715764488,1737429846,1758263635,1777464322,1795374943,1812475067,1828744767,1844349334,1859450104,1874487158,1889507244,1904568042,1919570287,1934167856,1948643347,1964036970,1981382735,1998548872,2014960984,2030504270,2045816761,2061449949,2074796982,2086281644,2095759417
"Population, total",SP.POP.TOTL,Euro area,EMU,317407910,318742973,320053176,321024031,321808185,322568383,323306275,323976358,324781951,325789631,326861195,328469678,330286340,332140117,333897752,335499702,337282985,338978475,340136844,341002804,340367367,341100659,341639530,342228563,343180482,344132977,344810179,345864630,346496601,346986142
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,849169384,852664500,855554221,857724586,859504753,861073425,862335056,863317613,864306932,865392479,866590696,868234843,870529446,873069464,875563919,878166933,880656346,884224673,887741128,890990371,893009595,896554203,899985362,903676408,907676898,911765648,915290996,918947897,922218554,923973838
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,210169114,212032319,213395945,214329901,215114964,216002100,216672059,217104725,217579952,218486598,219435056,220400259,221399692,222413290,223360135,224417513,225016072,226524480,228250911,230106440,231988438,233914892,235983340,238114658,240232789,242410814,244533821,246659127,248863066,250660609
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD),TEC,433132067,434844449,436152186,437106291,437796116,438325526,438638046,438735255,438650260,438423541,438100368,437806951,437905932,438136036,438333196,438714358,438680283,439732746,441304973,442936599,444846366,446980794,449206794,451547765,453811483,456099634,458235497,460205526,462219596,463151657
"Population, total",SP.POP.TOTL,European Union,EUU,421741276,422968989,424344744,425404352,426210050,426905134,427547651,428120105,428825949,429339162,429909307,430924112,432512916,434193248,435789139,437263803,438796003,440270719,441388573,442088310,441414078,442069839,442425741,442920819,443793218,444676652,445321060,446329890,446910453,446870959
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,499975816,512731689,526665569,541618452,556179028,568965099,581551866,594968744,608935664,622883185,637301077,653056220,669470707,685830138,702638957,719788972,736917394,754858953,773810618,793160547,812764221,832872724,853223055,873158163,892657785,912614026,933013886,953648681,974824119,996691241
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,371411648,382507617,394851493,406935718,418830100,431006940,443196153,455939263,469076891,481984327,495197350,509679981,524773987,539803501,555358929,571454590,587432384,604007702,621337653,638796398,656783491,675397557,694622934,714769441,735429414,756895035,779389964,802020674,824649053,847743308
"Population, total",SP.POP.TOTL,High income,HIC,1190620651,1199265189,1207321941,1214865410,1222056185,1229173347,1236130404,1242897726,1249367360,1255696330,1262093741,1268559564,1275200577,1282168195,1289125857,1296891494,1305578110,1314671040,1322754052,1328657754,1334557663,1342428400,1350149879,1357496263,1366013616,1374284415,1380319892,1385103279,1389779202,1393490142
"Population, total",SP.POP.TOTL,IBRD only,IBD,3513390696,3568890021,3622924380,3675872938,3728290191,3780446473,3832391543,3884078902,3934521819,3983328255,4031080605,4077229003,4122775918,4168676771,4214082145,4258827055,4302067550,4346234014,4391389527,4436714947,4483152627,4532140278,4582036746,4630723215,4676922961,4721753602,4765998583,4807240463,4845361414,4878606096
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,4411587746,4491324220,4570777029,4649243135,4727566480,4806199043,4884731621,4963254080,5040645749,5116723507,5192348770,5267145775,5341840046,5417128229,5492481030,5568236362,5643505923,5720065907,5797994405,5876645582,5956718993,6038998236,6120535080,6201723115,6281111240,6360340293,6440236993,6518316997,6594502842,6666779721
"Population, total",SP.POP.TOTL,IDA blend,IDB,309491517,318337815,327140314,336096421,345327214,354861820,364489851,374262946,384018319,394129957,404662385,414935066,425311302,436147454,447132945,458394453,470476526,482975881,495610570,508422508,520984443,532980174,544442648,555868551,567234056,578463670,590024074,601951913,614017319,626440308
"Population, total",SP.POP.TOTL,IDA only,IDX,588705533,604096384,620712335,637273776,653949075,670890750,687850227,704912232,722105611,739265295,756605780,774981706,793752826,812304004,831265940,851014854,870961847,890856012,910994308,931508127,952581923,973877784,994055686,1015131349,1036954223,1060123021,1084214336,1109124621,1135124109,1161733317
"Population, total",SP.POP.TOTL,IDA total,IDA,898197050,922434199,947852649,973370197,999276289,1025752570,1052340078,1079175178,1106123930,1133395252,1161268165,1189916772,1219064128,1248451458,1278398885,1309409307,1341438373,1373831893,1406604878,1439930635,1473566366,1506857958,1538498334,1570999900,1604188279,1638586691,1674238410,1711076534,1749141428,1788173625
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,1868272190,1890820460,1912010271,1932650915,1952702058,1972254664,1991505992,2010169496,2027628907,2043581322,2058600486,2072599555,2086139068,2099412663,2112603351,2126122277,2139958608,2153941306,2167303374,2179525352,2193171336,2209359324,2225083377,2241237489,2256276122,2271028438,2286095306,2298652685,2309164437,2316461820
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,449128999,457245250,465325731,473328616,481309028,489235073,497097004,504952583,512730984,520272118,527572583,534691591,541643365,548455563,555120780,561751999,568345245,574908733,581388129,587752505,594086829,600420316,606683307,612849401,618868462,624737786,630414986,635778081,640962372,645497651
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,399683088,406898894,414075451,421179547,428268339,435299542,442282724,449283157,456223550,462953688,469463143,475799008,481977727,488032486,494006571,499910627,505793340,511659365,517459947,523147480,528822706,534503260,540118712,545661592,551075145,556440282,561957179,567711159,573311679,578091505
"Population, total",SP.POP.TOTL,Latin America & Caribbean (IDA & IBRD),TLA,434138780,442150885,450131381,458042874,465939463,473775482,481555614,489346270,497065139,504556065,511809816,518881965,525787222,532556401,539188798,545805913,552399650,558968822,565454932,571822092,578171855,584524334,590809938,597023419,603091701,609017063,614776664,620274430,625467307,630051021
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,532595517,546905231,562489881,578028937,593609643,609407699,625267815,641401023,657616923,673630102,689878805,707266809,725111768,742717957,760741611,779230030,797516000,816268129,835687108,855348118,875685078,896684951,918269633,940284138,962508256,985414939,1008993468,1033110314,1058013514,1083636132
"Population, total",SP.POP.TOTL,Low & middle income,LMY,4127853483,4205224081,4282493268,4358651071,4434718175,4511311531,4587799929,4664177477,4739595823,4814250279,4888551481,4961926647,5034824498,5108183576,5181562375,5255157355,5328158709,5402245137,5477389130,5553257507,5630227189,5709187884,5787469694,5865317415,5941372154,6017298320,6094196886,6169917356,6243849229,6314223170
"Population, total",SP.POP.TOTL,Low income,LIC,250935723,257817106,265888248,273508544,281169146,289332496,297416997,305718387,314325970,322668237,331269527,341035328,351244442,361305645,371788197,383041001,394448347,405862712,417577386,429515596,441658754,453652889,465087882,476470767,488308267,501149314,514890519,529522043,544980983,560643073
"Population, total",SP.POP.TOTL,Lower middle income,LMC,1752379727,1792821112,1833665328,1874637283,1915943684,1957535877,1999429097,2041752501,2083995762,2126559759,2169474338,2211549617,2253206148,2295275996,2336911352,2378783316,2421545203,2464036877,2506795582,2550264612,2593815085,2637101332,2679816109,2723061855,2765011526,2806590212,2847931114,2888561818,2928617292,2968398856
"Population, total",SP.POP.TOTL,"Middle East, North Africa, Afghanistan & Pakistan",MEA,394251647,405847278,417150344,428117445,438968860,449859387,460864078,472047033,483430509,494850317,506478256,518193093,530338988,543086512,556210211,569898499,583743828,597799097,612128501,624828664,639053870,653273442,667464006,680716578,694232973,707023525,718887744,730362334,742714463,756405281
"Population, total",SP.POP.TOTL,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,371610655,381995940,392371485,402475400,412447289,422368926,432334916,442475967,452793419,462980522,473223662,483540516,494288606,505618583,517240777,529158464,540838105,552681993,565038251,577396038,589646039,601566988,613151287,624564062,635352686,645837915,656767614,668447432,680490997,692532027
"Population, total",SP.POP.TOTL,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,369541810,379832349,390108809,400109102,409972623,419780929,429628398,439699399,449944988,460058369,470225878,480465143,491133637,502381957,513920381,525752130,537343609,549090016,561349152,573609877,585763053,597586990,609074579,620390664,631082594,641470827,652312809,663878345,675805691,687728758
"Population, total",SP.POP.TOTL,Middle income,MIC,3876917760,3947406975,4016605020,4085142527,4153549029,4221979035,4290382932,4358459090,4425269853,4491582042,4557281954,4620891319,4683580056,4746877931,4809774178,4872116354,4933710362,4996382425,5059811744,5123741911,5188568435,5255534995,5322381812,5388846648,5453063887,5516149006,5579306367,5640395313,5698868246,5753580097
"Population, total",SP.POP.TOTL,North America,NAC,281076404,284943671,288662580,292185857,295639837,299064031,302623125,306069812,309502410,312909691,316051677,319046534,321812780,324806660,327822042,331013939,334183103,337404564,340465163,343447854,346242415,349116140,351870848,354755155,357583083,360527592,363217262,365666028,367908829,369670740
"Population, total",SP.POP.TOTL,OECD members,OED,1118410105,1129039882,1139203498,1148779736,1158068699,1167149370,1176191803,1184928348,1193682861,1202226474,1211109104,1220101353,1229012217,1237896576,1246656490,1255746646,1264728255,1274711058,1283973216,1292701737,1299644689,1307733583,1315427979,1323459714,1331675197,1340142055,1348127258,1356470975,1364155119,1369327995
"Population, total",SP.POP.TOTL,Other small states,OSS,9131087,9201490,9249106,9328189,9389918,9493131,9618823,9746302,9758520,9788238,9961679,10136134,10269557,10371059,10479844,10601352,10730365,10862640,10989567,11112466,11226214,11346082,11466589,11591200,11722398,11851918,11989367,12135267,12281907,12417333
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,1801531,1827395,1853148,1878007,1901782,1926342,1954642,1984859,2014289,2042274,2069097,2095273,2120592,2145505,2170029,2194265,2218230,2240739,2262456,2289399,2320899,2351924,2382931,2414338,2445989,2477794,2509999,2542009,2568656,2595522
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,971291914,978087877,984398082,990028770,995338472,1000836719,1006102041,1011086034,1015990094,1021150563,1026105872,1031302538,1036498631,1041890752,1047140108,1052866351,1059147302,1065603711,1071118156,1076208648,1079468050,1084193277,1088424167,1093025476,1097890139,1102966925,1107161559,1111377470,1114907717,1117025276
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,433111892,445411988,459529211,475022693,490118620,503373634,516729805,531450214,546890075,562428025,578587390,596114535,614269146,632445407,651320620,670229212,688722596,708796270,730293963,752046672,774567417,798002725,822138419,846420736,870587800,895239872,920568701,946317177,972302503,998624261
"Population, total",SP.POP.TOTL,Small states,SST,14610383,14735408,14837410,14970002,15087617,15248657,15435138,15624755,15698038,15786741,16017863,16250203,16441139,16597133,16699341,16868546,17047450,17228345,17398922,17575200,17748220,17926451,18107202,18292084,18482578,18671045,18865506,19084934,19293697,19472157
"Population, total",SP.POP.TOTL,South Asia,SAS,1035058149,1057074570,1079256381,1101305517,1123515559,1145998648,1168625898,1191405930,1214263809,1237185482,1260149056,1282584796,1304347790,1325950587,1346886384,1367187349,1386949456,1406047164,1425370200,1444967010,1464372623,1483553073,1501661991,1519839246,1537370078,1555111864,1572520427,1589164714,1605412986,1621073417
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1035058149,1057074570,1079256381,1101305517,1123515559,1145998648,1168625898,1191405930,1214263809,1237185482,1260149056,1282584796,1304347790,1325950587,1346886384,1367187349,1386949456,1406047164,1425370200,1444967010,1464372623,1483553073,1501661991,1519839246,1537370078,1555111864,1572520427,1589164714,1605412986,1621073417
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,535621670,550274082,565570780,580801913,596382250,612553970,628853819,645803591,663257231,681125107,699588585,718662153,738316131,758653144,779665113,801269368,823564883,846656872,870347292,894666657,919528126,944970310,971232906,997961037,1025251114,1052824144,1080941647,1109997000,1139315618,1169015451
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,485834033,498349572,511789636,525116200,538769611,553009918,567371961,582361221,597802260,613632482,630019621,646942913,664400687,682493463,701214785,720481278,740376633,761026248,782252358,804038373,826290715,849083240,872704206,896754068,921290560,946011305,971179323,997236086,1023480610,1049999318
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD),TSS,535621670,550274082,565570780,580801913,596382250,612553970,628853819,645803591,663257231,681125107,699588585,718662153,738316131,758653144,779665113,801269368,823564883,846656872,870347292,894666657,919528126,944970310,971232906,997961037,1025251114,1052824144,1080941647,1109997000,1139315618,1169015451
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2124538033,2154585863,2182939692,2210505244,2237605345,2264443158,2290953835,2316706589,2341274091,2365022283,2387807616,2409341702,2430373908,2451601935,2472862826,2493333038,2512165159,2532345548,2553016162,2573477299,2594753350,2618433663,2642565703,2665784793,2688052361,2709558794,2731375253,2751833495,2770250954,2785181241
"Population, total",SP.POP.TOTL,World,WLD,5388496228,5477123965,5564778620,5650853177,5736505516,5822614626,5908466557,5994040064,6078404337,6161884811,6245112906,6327557399,6409750441,6492769815,6575841506,6659977025,6744489399,6830513541,6916589116,7001266876,7087120034,7176968877,7265970522,7354183367,7441826877,7529066617,7614748582,7697492379,7778303912,7855075060
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Gender Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
